,Suhu,Waktu,Kondisi Langit,Kelembapan,Terbang/Tidak
0,Tinggi,Siang,Berawan,Rendah,Ya
1,Rendah,Siang,Hujan,Tinggi,Tidak
2,Normal,Pagi,Hujan,Tinggi,Tidak
3,Tinggi,Siang,Hujan,Normal,Ya
4,Rendah,Malam,Hujan,Rendah,Tidak
5,Normal,Sore,Cerah,Normal,Tidak
6,Tinggi,Siang,Rintik,Rendah,Tidak
7,Rendah,Siang,Cerah,Rendah,Ya
8,Normal,Siang,Cerah,Rendah,Tidak
9,Tinggi,Siang,Hujan,Rendah,Tidak
10,Tinggi,Sore,Cerah,Tinggi,Tidak
11,Normal,Siang,Cerah,Tinggi,Tidak
12,Rendah,Pagi,Berawan,Normal,Ya
13,Rendah,Malam,Rintik,Tinggi,Ya
14,Normal,Siang,Hujan,Normal,Ya
15,Tinggi,Malam,Cerah,Tinggi,Tidak
16,Rendah,Malam,Berawan,Rendah,Tidak
17,Rendah,Sore,Rintik,Normal,Tidak
18,Tinggi,Siang,Cerah,Rendah,Ya
19,Rendah,Malam,Rintik,Normal,Ya
